CARD	KEYWORD	TRANSLATION_01	TRANSLATION_02	TRANSLATION_03	TRANSLATION_04	TRANSLATION_05	TRANSLATION_06	TRANSLATION_07	TRANSLATION_08	TRANSLATION_09	TRANSLATION_10	TRADITIONAL	SIMPLIFIED
	one	eins
	two	zwei
	three	drei
	four	vier
	five	fünf
	six	sechs
	seven	sieben
	eight	acht
	nine	neun
	ten	zehn
	mouth	Mund
	day	Tag
	month	Monat
	rice field	Feld	Reisfeld
	eye	Auge
	ancient	Altertum	altertümlich
	recklessly	leichtsinnig
	I (literary)	ich (literarisch)
	companion	Gefährte
	bright	hell
	goods	Ware
	sparkling	glitzernd	funkelnd
	prosperous	gedeihlich
	sing	singen
	early	früh
	rising sun	aufgehende Sonne
	generation	Generation
	stomach	Magen
	daybreak	Tagesanbruch
	concave	konkav
	convex	konvex
	oneself	selber	selbst
	white	weiß
	hundred	hundert
	soap	Seife
	middle (n./adj.)	Mitte
	thousand	tausend
	tongue	Zunge
	liter	Liter
	rise up	aufsteigen
	pill	Pille
	divination	Weissagung	Vorhersage
	tell fortunes	wahrsagen
	above	oben
	below	unten
	card	Karte	Steckkarte
	eminent	hervorragend
	dynasty	Dynastie
	ridicule (v.)	verspotten	verhöhnen
	only	nur
	shellfish	Schalentier	Muschel
	paste (v.)	aufkleben
	chaste	keusch
	employee	Mitarbeiter	Mitglied
	see	sehen
	beginning	Anfang	Ursprung
	page	Buchseite
	stubborn	stur	starrköpfig
	ordinary	gewöhnlich
	muscle	Muskel
	defeated	besiegt werden	verlieren	belastet
	uniform (adj.)	gleichmäßig
	sentence (n.)	Satz
	decameron	Zeitraum von zehn Tagen
	ladle	Schöpflöffel
	bull‘s eye	"das ""Schwarze"""
	heads	Haupt
	straight	gerade
	set up	einbauen	installieren
	tool	Werkzeug
	true	wahr
	work (n.)	Arbeit
	left (n./adj.)	links
	right (n./adj.)	rechts
	possess	haben	besitzen
	bribe (n.)	bestechen	Bestechung
	tribute	Tribut	Abgabe
	item	Punkt 1, 2, 3 (etc.)
	sword	Messer	Schwert
	blade	Klinge
	cut (v.)	schneiden
