one,一,eins,
two,二,zwei,
three,三,drei,
four,四,vier,
five,五,fünf,
six,六,sechs,
seven,七,sieben,
eight,八,acht,
nine,九,neun,
ten,十,zehn,
mouth,口,Mund,
day,日,Tag,
month,月,Monat,
rice field,田,Reisfeld,
eye,目,Auge,
ancient,古,altertümlich,
recklessly,胡,leichtsinnig,
I (literary),吾,ich (literarisch),
companion,朋,Gefährte,
bright,明,hell,
goods,品,Ware,
sparkling,晶,funkelnd,
prosperous,昌,gedeihend,
sing,唱,singen,
early,早,früh,
rising sun,旭,aufgehende Sonne,
generation,世,Generation,
stomach,胃,Magen,
daybreak,旦,Tagesanbruch,
concave,凹,konkav,
convex,凸,konvex,
oneself,自,selber,
white,白,weiß,
hundred,百,hundert,
soap,皂,Seife,
middle (n./adj.),中,Mitte,
thousand,千,tausend,
tongue,舌,Zunge,
liter,升,Liter,
rise up,昇,aufsteigen,
pill,丸,Pille,
divination,卜,Weissagung,
tell fortunes,占,wahrsagen,
above,上,oben,
below,下,unten,
card,卡,Karte,
eminent,卓,hervorragend,
dynasty,朝,Dynastie,
ridicule (v.),嘲,verhöhnen,
only,只,nur,
shellfish,貝,Schalentier,
paste (v.),貼,aufkleben,
chaste,貞,keusch,
employee,員,Mitglied,
see,見,sehen,
beginning,元,Ursprung,
page,頁,Buchseite,
stubborn,頑,starrköpfig,
ordinary,凡,gewöhnlich,
muscle,肌,Muskel,
defeated,負,Belastung,
uniform (adj.),勻,gleichmäßig,
sentence (n.),句,Satz,
decameron,旬,Zeitraum von zehn Tagen,
ladle,勺,Schöpflöffel,
bull‘s eye,的,das „Schwarze“,
heads,首,Haupt,
straight,直,gerade,
set up,置,installieren,
tool,具,Werkzeug,
False,真,wahr,
work (n.),工,Arbeit,
left (n./adj.),左,links,
right (n./adj.),右,rechts,
possess,有,besitzen,
bribe (n.),賄,bestechen,
tribute,貢,Tribut,
item,項,Punkt einer Gliederung,
sword,刀,Messer,
blade,刃,Klinge,
cut (v.),切,schneiden,
summon,召,herbeizitieren,
evident,昭,evident,
rule (n.),則,Regel,
vice-,副,Vize-,
fourth,丁,viertens,
sting (v.),叮,stechen,
can (aux. v.),可,können,
older brother,哥,großer Bruder,
crest (n.),頂,Scheitelpunkt,
second (adj.),乙,zweitens,
child,子,Kind,
cavity,孔,Aushöhlung,
roar (v.),吼,brüllen,
-ed,了,(Perfek)-t,
woman,女,Frau,
good,好,gut,
be like,如,so wie,
mother,母,Mutter,
pierce,貫,durchbohren,
elder brother,兄,älterer Bruder,
overcome (v.),克,überwinden,
small,小,klein,
few,少,wenig,
noisy,吵,lärmend,
large,大,groß,
tip (n.),尖,Spitze,
evening,夕,Tagesende,
many,多,viel,
enough,夠,genug,
outside,外,draußen,
name (n.),名,Name,
thick,厚,dick,
stone,石,Stein,
gravel,砂,Kies,
wonderful,妙,wundervoll,
resemble,肖,ähneln,
peel (v.),削,schälen,
ray,光,Licht,
overly,太,allzu,
economize,省,sparen,
strange,奇,seltsam,
stream (n.),川,Fluss,
state (n.),州,Bundesstaat,
obey,順,befolgen,
water (n.),水,Wasser,
eternity,永,Ewigkeit,
request (v.),求,nach etw. verlangen,
spring (n.),泉,Springquelle,
flatlands,原,Flachland,
wish (n.),願,Wunsch,
wash away,沖,spülen,
swim (v.),泳,schwimmen,
continent,洲,Kontinent,
marsh,沼,Morast,
sand (n.),沙,Sand,
Yangtze,江,Yangtse,
juice (n.),汁,Saft,
tide,潮,Gezeiten,
source,源,Quelle,
lively,活,lebendig,
extinguish,消,tilgen,
situation,況,Situation,
river,河,Strom,
lake,湖,See,
fathom (v.),測,vermessen,
soil (n.),土,Erde,
equal,均,gleich,
belly,肚,Bauch,
fill in,填,ausfüllen,
spit (v.),吐,spucken,
waaah!,哇,Uäääh!,
Chinese inch,寸,chinesisches Zoll,
seal (v.),封,versiegeln,
Buddhist temple,寺,buddhistischer Tempel,
time (n.),時,Zeit,
fire (n.),火,Feuer,
ashes,灰,Asche,
vexed (adj.),煩,verdrossen,
inflammation,炎,Entzündung,
thin (adj.),淡,wässrig,
disaster,災,Katastrophe,
illuminate,照,beleuchten,
fish (n.),魚,Fisch,
fishing (n.),漁,Fischfang,
Yao,堯,Kaiser Yao,
fever,燒,Fieber,
dawn (n.),曉,Morgendämmerung,
li,里,Li,
quantity,量,Menge,
bury,埋,vergraben,
black,黑,schwarz,
spot (n.),點,Punkt,
black ink,墨,schwarze Tusche,
risk (v.),冒,riskieren,
same,同,identisch,
cave,洞,Grotte,
orientation,向,Ausrichtung,
esteem (v.),尚,wertschätzen,
character,字,Schriftzeichen,
guard (v.),守,bewachen,
finish (v.),完,vollenden,
reality,實,Wirklichkeit,
proclaim,宣,verkünden,
nighttime,宵,in den Puppen,
peaceful,安,friedlich,
banquet,宴,Bankett,
mail (v.),寄,verschicken,
wealthy,富,reich,
store up,貯,aufbewahren,
tree,木,Holz,
woods,林,Forst,
forest,森,Wald,
plant (v.),植,pflanzen,
apricot,杏,Aprikose,
dim-witted,呆,dumm,
withered,枯,verdorrt,
village,村,Dorf,
one another,相,einander,
notebook,本,Schreibheft,
case,案,Rechtsfall,
not yet,未,noch nicht,
last (n./adj.),末,letzter,
foam,沫,Schaum,
flavor (n.),味,Geschmack,
younger sister,妹,jüngere Schwester,
investigate,查,nachsehen,nachschlagen
sediment,渣,Bodensatz,
dye (v.),染,färben,
plum,李,Pflaume,
table,桌,Tisch,
as if,若,als ob,
grass,草,Gras,
suffering (n.),苦,bitter,
wide,寬,weiträumig,
leaf,葉,Blatt,
nobody,莫,niemand,
imitate,模,nachahmen,
desert (n.),漠,Wüste,
grave,墓,Grab,
seedling,苗,Setzling,
aim (v.),瞄,zielen,
portent,兆,Vorzeichen,
peach,桃,Pfirsich,
pooch,犬,Hündchen,
remarkable,尤,besonders,
silent,默,still,
sort of thing,然,-artig,
cry (v.),哭,weinen,
utensil,器,Gerät,
stinking (adj.),臭,stinkend,
dog,狗,Hund,
detest,厭,verabscheuen,
pressure (n.),壓,Druck,
cow,牛,Kuh,
special (adj.),特,speziell,
declare,告,mitteilen,
vast,浩,gewaltig,
before,先,voraus,
wash (v.),洗,waschen,
introduce,介,einführen,
world,界,Welt,
tea,茶,Tee,
meeting,會,Zusammenkunft,
fit (v.),合,passen,
ha!,哈,Ha!,
pagoda,塔,Pagode,
king,王,König,
jade,玉,Jade,
ball,球,Ball,
present (adj.),現,gegenwärtig,
play (v.),玩,spielen,
crazy,狂,verrückt,
emperor,皇,Kaiser,
resplendent,煌,strahlend,
submit,呈,einreichen,
whole,全,ganz,
logic,理,Logik,
lord,主,Herr,
pour,注,eingießen,
gold,金,Gold,
copper,銅,Kupfer,
go fishin‘,釣,angeln,
needle (n.),針,Nadel,
nail (n.),釘,Nagel,
inscription,銘,Inschrift,
at ease,鎮,gelassen,
way,道,Weg,
guide (v.),導,leiten,führen
speedy,迅,rasch,
create,造,erschaffen,
patrol (v.),巡,patrouillieren,
stroll (v.),逛,einen Bummel machen,
car,車,Wagen,
one after another,連,aufeinanderfolgend,
lotus,蓮,Lotus,
in front,前,vor,
shears,剪,Schere,
transport (v.),輸,transportieren,
exceed,逾,überschreiten,
each,各,je,
pattern,格,Muster,
guest,客,Gast,
forehead,額,Stirn,
summer,夏,Sommer,
L.A.,洛,Los Angeles,
fall (v.),落,landen,
superfluous,冗,überflüssig,
